item;a1;se_a1;a2;se_a2;a3;se_a3;a4;se_a4;MDISC;d;se_d;MDIFF
03;0.30;1.03;1.52;3.50;0.07;39.49;-0.04;54.53;1.55;4.07;1.24;-2.62
05;-0.32;22.88;0.28;31.36;-0.40;34.43;-0.88;20.25;1.06;5.23;9.19;-4.95
06;1.09;1.70;1.91;15.07;0.30;54.56;-0.25;64.98;2.23;4.62;1.76;-2.07
08;-0.14;0.59;0.15;39.66;-0.41;35.75;-1.21;16.01;1.29;0.81;0.32;-0.63
10;-0.12;0.67;0.65;41.81;0.06;19.93;1.14;23.05;1.32;2.08;0.53;-1.58
12;-0.13;0.78;1.03;42.84;0.87;42.55;-0.68;23.18;1.52;2.49;0.58;-1.64
19;0.67;0.81;0.90;28.51;0.51;14.99;0.92;23.47;1.54;1.46;0.48;-0.95
21;1.43;1.46;0.89;38.57;1.89;15.48;0.97;30.04;2.71;5.12;2.41;-1.89
22;0.56;0.98;0.82;32.96;0.57;34.70;-0.59;19.83;1.29;3.75;1.02;-2.91
23;0.55;0.90;1.08;18.07;0.59;17.63;0.61;28.72;1.48;3.55;0.66;-2.40
24;11.44;177.69;5.62;257.53;16.62;283.21;7.09;291.11;22.11;46.63;719.38;-2.11
25;0.39;1.62;-0.11;99.18;2.82;24.08;-0.98;79.36;3.01;5.57;2.82;-1.85
27;0.06;0.56;0.62;40.23;-0.16;17.11;1.01;26.64;1.20;-0.60;0.34;0.50
28;0.15;0.72;0.04;52.30;0.42;41.15;1.56;10.25;1.62;-1.35;0.44;0.83
29;0.47;0.68;0.37;49.02;-0.36;23.97;1.15;22.52;1.34;-2.03;0.46;1.51
30;0.76;0.88;1.01;39.26;0.78;20.63;1.29;23.39;1.97;1.35;0.58;-0.69
32;0.62;0.65;0.65;18.39;0.65;10.41;0.61;14.00;1.27;1.58;0.42;-1.25
33;0.92;1.29;2.29;32.29;1.24;58.78;-0.01;61.27;2.76;5.55;2.87;-2.01
35;0.10;0.45;0.64;22.48;0.10;10.49;0.64;21.77;0.92;-0.35;0.30;0.38
37;0.62;0.77;1.45;11.39;-0.10;31.66;0.26;56.15;1.60;2.36;0.56;-1.47
38;0.95;0.70;0.47;33.23;0.70;21.06;1.10;10.75;1.68;0.67;0.48;-0.40
40;0.15;0.50;0.90;17.42;0.05;14.72;0.49;32.63;1.04;-0.15;0.28;0.14
43;0.01;0.86;1.06;9.27;-0.18;23.78;0.16;43.42;1.09;-4.20;1.18;3.86
45;0.28;0.66;1.13;25.77;0.05;17.52;0.71;40.90;1.36;1.49;0.41;-1.09
46;0.53;0.77;0.49;32.04;1.32;19.01;1.02;22.69;1.82;1.24;0.50;-0.68
47;0.60;3.15;1.07;48.33;1.16;41.31;-0.58;22.02;1.78;5.19;3.09;-2.91
48;0.90;1.04;1.62;20.43;0.79;28.94;0.67;44.95;2.12;3.06;0.80;-1.44
52;0.61;0.64;0.47;19.32;0.95;7.59;0.46;14.58;1.31;1.73;0.44;-1.32
55;0.45;0.92;0.23;41.62;1.16;16.83;-0.43;24.72;1.34;4.40;0.87;-3.29
56;1.91;4.34;1.81;18.87;0.93;41.42;0.33;49.98;2.81;6.88;16.99;-2.45
57;-2.08;0.72;-0.14;30.90;1.17;2.99;-0.03;35.93;2.39;-2.41;0.68;1.01
58;-50.47;398.55;8.56;309.51;6.92;181.90;10.11;217.53;52.64;-41.73;332.82;0.79
59;0.38;0.99;-1.19;27.54;1.34;46.79;0.69;76.93;1.96;3.80;1.45;-1.94
60;-2.74;4.63;-0.46;70.45;0.05;61.38;1.92;21.13;3.38;7.25;13.39;-2.15
61;-0.75;0.53;-0.40;21.09;0.95;25.62;0.62;38.81;1.42;0.38;0.28;-0.27
64;0.71;1.75;-1.92;38.71;1.75;56.92;0.33;115.42;2.71;6.39;3.54;-2.36
65;0.26;3.79;-2.53;56.83;2.89;84.56;0.98;160.92;3.97;8.67;20.84;-2.18
66;1.01;1.19;-0.14;27.72;0.74;29.10;0.94;24.34;1.57;4.87;2.89;-3.10
69;-0.86;0.56;0.32;12.34;-0.47;18.09;-0.40;23.44;1.11;1.11;0.37;-1.00
70;-0.35;0.44;-0.10;17.00;0.82;13.87;0.43;25.20;1.00;-0.57;0.27;0.57
71;-1.02;0.56;0.46;9.67;0.46;7.56;0.25;9.91;1.24;2.23;0.39;-1.81
73;0.82;11.08;-3.37;70.10;2.36;86.72;-0.22;185.21;4.20;10.71;37.53;-2.55
74;-4.25;1.69;0.60;25.59;1.23;10.37;0.62;19.79;4.51;-3.05;1.27;0.68
75;-0.79;0.37;0.29;15.64;0.33;13.21;-0.24;6.18;0.94;0.51;0.23;-0.54
